City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,lyozna,55.0249,30.7956,-7.34,86,13,3.1,BY,1700588347
299,robore,-18.3333,-59.75,35.05,49,40,9.26,BO,1700588348
300,erdenet,49.0333,104.0833,-13.92,93,58,2.68,MN,1700588348
301,kibondo,-3.5864,30.7203,18.53,88,84,1.97,TZ,1700588349
302,tocopilla,-22.092,-70.1979,20.46,65,48,4.6,CL,1700588349
303,gobabis,-22.45,18.9667,29.98,18,82,5.0,NA,1700588350
304,vallenar,-28.5708,-70.7581,20.88,26,0,5.12,CL,1700588351
305,lata,40.1629,-8.3327,13.78,70,45,1.94,PT,1700588351
306,ciudad lazaro cardenas,17.9583,-102.2,29.25,69,67,2.2,MX,1700588352
307,cockburn town,21.4612,-71.1419,28.98,61,40,7.2,TC,1700588221
308,madang,-5.2246,145.7966,25.18,91,67,1.56,PG,1700588353
309,pingliang,35.5392,106.6861,4.04,36,38,1.79,CN,1700588353
310,chonchi,-42.6128,-73.8092,13.95,52,90,1.78,CL,1700588354
311,sao vicente,-23.9631,-46.3919,35.1,60,100,4.12,BR,1700588355
312,sumbawanga,-7.9667,31.6167,22.89,43,20,0.0,TZ,1700588355
313,tolanaro,-25.0319,46.9987,26.04,83,20,11.83,MG,1700588356
314,bolobo,-2.1667,16.2333,22.63,95,98,0.57,CD,1700588357
315,sur,22.5667,59.5289,25.47,63,100,1.43,OM,1700588357
316,coronel dorrego,-38.7187,-61.2873,25.98,11,23,7.91,AR,1700588358
317,metu,8.3,35.5833,15.7,96,32,0.98,ET,1700588358
318,sao jose da coroa grande,-8.8978,-35.1478,28.22,65,35,5.71,BR,1700588359
319,cabo san lucas,22.8909,-109.9124,25.17,46,40,2.06,MX,1700587542
320,vilyuysk,63.7553,121.6247,-30.0,97,98,2.6,RU,1700588360
321,xining,36.6167,101.7667,2.51,31,0,1.5,CN,1700588361
322,damulog,7.4836,124.9431,22.83,94,100,0.83,PH,1700588361
323,boueni,-12.9025,45.0761,28.99,75,20,0.78,YT,1700588362
324,koryazhma,61.3143,47.1691,-10.61,93,27,2.36,RU,1700588362
325,kapa'a,22.0752,-159.319,21.17,92,84,5.07,US,1700588363
326,selkirk,50.1436,-96.8845,-1.07,62,26,4.02,CA,1700588364
327,chui,-33.6971,-53.4616,28.93,57,58,2.81,UY,1700588364
328,bikenibeu village,1.3673,173.1241,27.98,100,20,3.09,KI,1700588365
329,lodwar,3.1191,35.5973,30.5,46,40,6.51,KE,1700588365
330,ayios konstandinos,38.6333,21.4,14.5,76,50,1.31,GR,1700588366
331,hirara,24.8,125.2833,20.15,83,75,3.09,JP,1700588367
332,shindand,33.3029,62.1474,18.06,41,2,5.3,AF,1700588367
333,waeng,16.3001,103.9779,19.39,82,54,2.69,TH,1700588368
334,lorengau,-2.0226,147.2712,27.38,82,32,3.18,PG,1700588369
335,chone,-0.6833,-80.1,28.44,65,100,0.47,EC,1700588370
336,hammerfest,70.6634,23.6821,-2.75,59,0,2.57,NO,1700588370
337,sabang,5.8933,95.3214,26.94,81,98,3.99,ID,1700588371
338,elliot lake,46.3834,-82.6331,-0.43,78,100,5.15,CA,1700588371
339,crane,31.3974,-102.3501,12.63,39,51,8.4,US,1700588372
340,sullivan,36.5168,-82.5332,16.17,86,100,3.6,US,1700588372
341,chegdomyn,51.1167,133.0167,-11.17,97,92,0.91,RU,1700588373
342,jabor,5.921,169.6434,28.03,78,79,6.57,MH,1700588374
343,princeville,45.7668,-61.2985,4.23,65,0,5.66,CA,1700588375
344,labrador city,52.9463,-66.9114,-6.05,68,100,3.6,CA,1700588375
345,jesus maria,-30.9815,-64.0942,27.01,66,73,4.6,AR,1700588376
346,bousso,10.4795,16.7117,28.99,24,98,2.96,TD,1700588377
347,hanceville,34.0607,-86.7675,19.19,79,100,4.23,US,1700588377
348,lerwick,60.1545,-1.1494,9.0,85,100,12.26,GB,1700588259
349,sao tome,0.3365,6.7273,26.99,79,70,3.34,ST,1700588378
350,anaconda,46.1285,-112.9423,-3.45,28,71,2.13,US,1700588379
351,hotan,37.0997,79.9269,5.77,23,0,0.8,CN,1700588380
352,kawambwa,-9.7915,29.0791,19.06,96,99,1.17,ZM,1700588380
353,novhorod-sivers'kyy,52.0058,33.2615,-5.6,50,4,2.43,UA,1700588381
354,mount pearl,47.5166,-52.7813,2.47,74,40,5.14,CA,1700588381
355,bezhetsk,57.7851,36.6965,-9.19,80,24,4.21,RU,1700588382
356,gadzhiyevo,69.2551,33.3362,-11.22,97,89,4.37,RU,1700588383
357,cambria,35.5641,-121.0808,18.19,56,26,1.04,US,1700588383
358,gonzaga,44.9498,10.8209,12.23,94,100,3.77,IT,1700588384
359,as sulayyil,20.4607,45.5779,29.14,34,5,5.05,SA,1700588384
360,galliano,29.4422,-90.2992,22.0,76,84,6.59,US,1700588385
361,mejit,10.2753,170.8646,27.45,70,92,8.31,MH,1700588386
